time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
116060,0,0,0,320,180
116217,0,0,0,317,183
116261,0,0,0,320,180
116298,0,0,0,338,162
116397,0,0,0,384,116
116696,0,0,0,329,171
116696,0,0,0,301,199
116829,0,0,0,417,83
117028,0,0,0,405,95
117065,0,0,0,433,67
117128,0,0,0,445,55
117176,0,0,0,442,58
117176,0,0,0,440,60
117192,0,0,0,443,57
117197,0,0,0,445,55
117270,0,0,0,500,0
117380,0,0,0,480,20
117380,0,0,0,462,38
117380,0,0,0,44,456
117494,0,0,0,24,476
117494,0,0,0,22,478
117504,0,0,0,24,476
117587,0,0,0,42,458
117688,0,0,0,62,438
117771,0,0,0,82,418
118155,0,0,0,70,430
118155,0,0,0,62,438
118155,0,0,0,42,458
118238,0,0,0,41,459
118238,0,0,0,25,475
118244,0,0,0,26,474
118269,0,0,0,38,462
118309,0,0,0,46,454
118398,0,0,0,66,434
118398,0,0,0,34,466
118541,0,0,0,50,450
118634,0,0,0,12,488
119014,0,0,0,44,456
119014,0,0,0,29,471
119107,0,0,0,44,456
119320,0,0,0,82,418
119366,0,0,0,61,439
119494,0,0,0,43,457
119494,0,0,0,41,459
119509,0,0,0,43,457
119528,0,0,0,64,436
119604,0,0,0,49,451
119626,0,0,0,67,433
119664,0,0,0,54,446
119696,0,0,0,37,463
119734,0,0,0,35,465
119748,0,0,0,37,463
119753,0,0,0,50,450
119844,0,0,0,32,468
119857,0,0,0,47,453
119973,0,0,0,64,436
119973,0,0,0,27,473
120031,0,0,0,6,494
120093,0,0,0,24,476
120354,0,0,0,4,496
120358,0,0,0,41,459
120358,0,0,0,11,489
120361,0,0,0,32,468
120361,0,0,0,19,481
120505,0,0,0,11,489
120599,0,0,0,19,481
120609,0,0,0,32,468
120609,0,0,0,23,477
120736,0,0,0,43,457
120736,0,0,0,20,480
120774,0,0,0,29,471
120774,0,0,0,13,487
120790,0,0,0,9,491
120850,0,0,0,13,487
120910,0,0,0,431,69
120910,0,0,0,378,122
120910,0,0,0,330,170
120910,0,0,0,270,230
120910,0,0,0,210,290
120910,0,0,0,185,315
120910,0,0,0,148,352
120910,0,0,0,93,407
120910,0,0,0,56,444
120910,0,0,0,39,461
120910,0,0,0,30,470
120921,0,0,0,60,440
120927,0,0,0,83,417
120932,0,0,0,72,428
120932,0,0,0,70,430
120964,0,0,0,72,428
120964,0,0,0,81,419
120976,0,0,0,69,431
121013,0,0,0,43,457
121034,0,0,0,59,441
121041,0,0,0,70,430
121042,0,0,0,82,418
121112,0,0,0,99,401
121134,0,0,0,86,414
121134,0,0,0,84,416
121163,0,0,0,86,414
121171,0,0,0,82,418
121171,0,0,0,80,420
121203,0,0,0,82,418
121216,0,0,0,119,381
121216,0,0,0,66,434
121221,0,0,0,79,421
121244,0,0,0,83,417
121256,0,0,0,109,391
121298,0,0,0,169,331
121337,0,0,0,206,294
121367,0,0,0,259,241
121373,0,0,0,284,216
121413,0,0,0,267,233
121513,0,0,0,215,285
121519,0,0,0,232,268
121571,0,0,0,183,317
121571,0,0,0,236,264
121666,0,0,0,178,322
121666,0,0,0,161,339
121666,0,0,0,140,360
121710,0,0,0,188,312
121795,0,0,0,173,327
121827,0,0,0,164,336
121847,0,0,0,224,276
121879,0,0,0,239,261
121881,0,0,0,256,244
121892,0,0,0,265,235
121899,0,0,0,216,284
121899,0,0,0,206,294
121899,0,0,0,201,299
121904,0,0,0,222,278
121904,0,0,0,89,411
121908,0,0,0,138,362
121928,0,0,0,193,307
121967,0,0,0,198,302
121971,0,0,0,194,306
122027,0,0,0,204,296
122031,0,0,0,208,292
122140,0,0,0,183,317
122253,0,0,0,153,347
122253,0,0,0,137,363
122253,0,0,0,120,380
122293,0,0,0,172,328
122374,0,0,0,197,303
122378,0,0,0,194,306
122432,0,0,0,197,303
122437,0,0,0,186,314
122486,0,0,0,151,349
122506,0,0,0,209,291
122521,0,0,0,225,275
122589,0,0,0,242,258
122642,0,0,0,253,247
122651,0,0,0,240,260
122651,0,0,0,214,286
122651,0,0,0,207,293
122651,0,0,0,162,338
122716,0,0,0,197,303
122719,0,0,0,204,296
122764,0,0,0,234,266
122794,0,0,0,260,240
122794,0,0,0,309,191
122911,0,0,0,322,178
122993,0,0,0,278,222
122993,0,0,0,264,236
123014,0,0,0,309,191
123065,0,0,0,302,198
123147,0,0,0,309,191
123189,0,0,0,262,238
123189,0,0,0,217,283
123224,0,0,0,231,269
123284,0,0,0,172,328
123284,0,0,0,169,331
123312,0,0,0,172,328
123330,0,0,0,216,284
123446,0,0,0,181,319
123475,0,0,0,226,274
123756,0,0,0,285,215
123775,0,0,0,320,180
123787,0,0,0,278,222
123787,0,0,0,270,230
123787,0,0,0,251,249
123791,0,0,0,298,202
123866,0,0,0,306,194
123901,0,0,0,293,207
123939,0,0,0,263,237
123939,0,0,0,260,240
123975,0,0,0,263,237
124040,0,0,0,276,224
124072,0,0,0,295,205
124088,0,0,0,284,216
124145,0,0,0,274,226
124145,0,0,0,273,227
124145,0,0,0,238,262
124145,0,0,0,211,289
124153,0,0,0,212,288
124207,0,0,0,223,277
124305,0,0,0,186,314
124305,0,0,0,129,371
124305,0,0,0,123,377
124321,0,0,0,133,367
124383,0,0,0,266,234
124414,0,0,0,272,228
124462,0,0,0,307,193
124477,0,0,0,334,166
124486,0,0,0,376,124
124505,0,0,0,406,94
124657,0,0,0,398,102
124657,0,0,0,384,116
124657,0,0,0,378,122
124721,0,0,0,384,116
124747,0,0,0,398,102
124749,0,0,0,406,94
124778,0,0,0,463,37
124813,0,0,0,447,53
124813,0,0,0,430,70
124813,0,0,0,416,84
124814,0,0,0,453,47
124944,0,0,0,428,72
124944,0,0,0,416,84
124951,0,0,0,430,70
124996,0,0,0,446,54
125001,0,0,0,463,37
125030,0,0,0,475,25
125030,0,0,0,75,425
125031,0,0,0,52,448
125160,0,0,0,39,461
125160,0,0,0,21,479
125233,0,0,0,34,466
125250,0,0,0,57,443
125262,0,0,0,51,449
125287,0,0,0,76,424
125323,0,0,0,94,406
125323,0,0,0,46,454
125341,0,0,0,52,448
125355,0,0,0,34,466
125355,0,0,0,15,485
125446,0,0,0,33,467
125480,0,0,0,13,487
125678,0,0,0,32,468
125678,0,0,0,20,480
125678,0,0,0,11,489
125731,0,0,0,31,469
125734,0,0,0,40,460
125753,0,0,0,23,477
125795,0,0,0,19,481
125839,0,0,0,23,477
125844,0,0,0,35,465
125960,0,0,0,19,481
125960,0,0,0,13,487
126015,0,0,0,19,481
126082,0,0,0,36,464
126082,0,0,0,11,489
126121,0,0,0,27,473
126167,0,0,0,75,425
126167,0,0,0,16,484
126245,0,0,0,41,459
126263,0,0,0,27,473
126263,0,0,0,19,481
126337,0,0,0,33,467
126368,0,0,0,18,482
126368,0,0,0,4,496
126378,0,0,0,12,488
126473,0,0,0,26,474
126473,0,0,0,9,491
